"id","userId","timestamp","eventType","details","isCheating","riskScore"
"1","1","2025-03-15 17:17:37.514","SIGNUP","User account created from IP: ::1",,
"2","1","2025-03-15 17:17:41.33","LOGIN","User logged in successfully",,
"3","1","2025-03-15 17:42:31.797","tabswitched","Tab switched to: http://localhost:3000/stream",,
"4","1","2025-03-15 17:42:33.241","tabswitched","Tab switched to: http://localhost:3000/stream",,
"5","1","2025-03-15 17:42:34.088","tabswitched","Tab switched to: http://localhost:3000/stream",,
"6","1","2025-03-15 17:42:34.717","mousemoved","Mouse moved to: (640, 3)",,
"7","1","2025-03-15 17:42:35.052","mousemoved","Mouse moved to: (628, 3)",,
"8","1","2025-03-15 17:42:35.398","mousemoved","Mouse moved to: (398, 233)",,
"9","1","2025-03-15 17:42:36.621","tabswitched","Tab switched to: http://localhost:3000/stream",,
"10","1","2025-03-15 17:42:36.966","tabswitched","Tab switched to: http://localhost:3000/stream",,
"11","1","2025-03-15 17:42:37.922","mousemoved","Mouse moved to: (438, 257)",,
"12","1","2025-03-15 17:42:37.921","mousemoved","Mouse moved to: (628, 454)",,
"13","1","2025-03-15 17:42:40.823","mousemoved","Mouse moved to: (949, 950)",,
"14","1","2025-03-15 17:42:40.939","mousemoved","Mouse moved to: (965, 860)",,
"15","1","2025-03-15 17:42:40.982","mousemoved","Mouse moved to: (974, 772)",,
"16","1","2025-03-15 17:42:41.038","tabswitched","Tab switched to: http://localhost:3000/stream",,
"17","1","2025-03-15 17:42:41.061","mousemoved","Mouse moved to: (974, 704)",,
"18","1","2025-03-15 17:42:41.121","mousemoved","Mouse moved to: (953, 932)",,
"19","1","2025-03-15 17:42:41.345","mousemoved","Mouse moved to: (968, 646)",,
"20","1","2025-03-15 17:42:41.636","mousemoved","Mouse moved to: (1118, 462)",,
"21","1","2025-03-15 17:42:41.773","mousemoved","Mouse moved to: (887, 301)",,
"22","1","2025-03-15 17:42:41.782","mousemoved","Mouse moved to: (675, 354)",,
"23","1","2025-03-15 17:42:41.882","mousemoved","Mouse moved to: (512, 579)",,
"24","1","2025-03-15 17:42:41.983","mousemoved","Mouse moved to: (1085, 982)",,
"25","1","2025-03-15 17:42:42.034","mousemoved","Mouse moved to: (1662, 570)",,
"26","1","2025-03-15 17:42:42.161","mousemoved","Mouse moved to: (1618, 415)",,
"27","1","2025-03-15 17:42:42.524","mousemoved","Mouse moved to: (1349, 562)",,
"28","1","2025-03-15 17:42:42.604","mousemoved","Mouse moved to: (1132, 574)",,
"29","1","2025-03-15 17:42:43.244","mousemoved","Mouse moved to: (895, 550)",,
"30","1","2025-03-15 17:42:43.313","mousemoved","Mouse moved to: (698, 448)",,
"31","1","2025-03-15 17:42:43.423","mousemoved","Mouse moved to: (543, 602)",,
"32","1","2025-03-15 17:42:43.18","mousemoved","Mouse moved to: (1077, 567)",,
"33","1","2025-03-15 17:42:43.487","mousemoved","Mouse moved to: (861, 502)",,
"34","1","2025-03-15 17:42:43.784","mousemoved","Mouse moved to: (704, 596)",,
"35","1","2025-03-15 17:42:43.563","mousemoved","Mouse moved to: (750, 580)",,
"36","1","2025-03-15 17:42:43.597","mousemoved","Mouse moved to: (532, 528)",,
"37","1","2025-03-15 17:42:43.575","mousemoved","Mouse moved to: (944, 584)",,
"38","1","2025-03-15 17:42:43.663","mousemoved","Mouse moved to: (670, 687)",,
"39","1","2025-03-15 17:42:43.739","mousemoved","Mouse moved to: (584, 476)",,
"40","1","2025-03-15 17:42:43.831","mousemoved","Mouse moved to: (889, 699)",,
"41","1","2025-03-15 17:42:44.24","mousemoved","Mouse moved to: (696, 606)",,
"42","1","2025-03-15 17:42:43.98","mousemoved","Mouse moved to: (1077, 551)",,
"43","1","2025-03-15 17:42:44.113","mousemoved","Mouse moved to: (1072, 379)",,
"44","1","2025-03-15 17:42:45.334","keyispressed","Key pressed: Shift",,
"45","1","2025-03-15 17:42:45.515","keyispressed","Key pressed: S",,
"46","1","2025-03-15 17:42:45.592","keyispressed","Key pressed: O",,
"47","1","2025-03-15 17:42:45.827","keyispressed","Key pressed: M",,
"48","1","2025-03-15 17:42:45.965","keyispressed","Key pressed: A",,
"49","1","2025-03-15 17:42:46.16","keyispressed","Key pressed: A",,
"50","1","2025-03-15 17:42:46.195","keyispressed","Key pressed:  ",,
"51","1","2025-03-15 17:42:46.286","keyispressed","Key pressed: N",,
"52","1","2025-03-15 17:42:46.405","keyispressed","Key pressed: K",,
"53","1","2025-03-15 17:42:46.632","keyispressed","Key pressed:  ",,
"54","1","2025-03-15 17:42:46.839","keyispressed","Key pressed: M",,
"55","1","2025-03-15 17:42:46.846","keyispressed","Key pressed: I",,
"56","1","2025-03-15 17:42:47.093","keyispressed","Key pressed:  ",,
"57","1","2025-03-15 17:42:47.208","keyispressed","Key pressed: A",,
"58","1","2025-03-15 17:42:47.417","keyispressed","Key pressed: K",,
"59","1","2025-03-15 17:42:47.598","keyispressed","Key pressed: A",,
"60","1","2025-03-15 17:42:47.767","keyispressed","Key pressed:  ",,
"61","1","2025-03-15 17:42:48.016","keyispressed","Key pressed: C",,
"62","1","2025-03-15 17:42:49.445","keyispressed","Key pressed: Backspace",,
"63","1","2025-03-15 17:42:50.167","keyispressed","Key pressed: B",,
"64","1","2025-03-15 17:42:50.423","keyispressed","Key pressed: H",,
"65","1","2025-03-15 17:42:50.648","keyispressed","Key pressed: O",,
"66","1","2025-03-15 17:42:50.858","keyispressed","Key pressed: S",,
"67","1","2025-03-15 17:42:51.208","keyispressed","Key pressed: A",,
"68","1","2025-03-15 17:42:51.208","keyispressed","Key pressed: D",,
"69","1","2025-03-15 17:42:51.533","keyispressed","Key pressed:  ",,
"70","1","2025-03-15 17:42:52.887","mousemoved","Mouse moved to: (1050, 690)",,
"71","1","2025-03-15 17:42:52.896","mousemoved","Mouse moved to: (694, 639)",,
"72","1","2025-03-15 17:42:53.451","mousemoved","Mouse moved to: (1228, 747)",,
"73","1","2025-03-15 17:42:53.451","mousemoved","Mouse moved to: (1348, 734)",,
"74","1","2025-03-15 17:43:04.122","mousemoved","Mouse moved to: (1110, 529)",,
"75","1","2025-03-15 17:43:04.122","mousemoved","Mouse moved to: (1127, 738)",,
"76","1","2025-03-15 17:43:04.122","mousemoved","Mouse moved to: (1052, 244)",,
"77","1","2025-03-15 17:43:07.481","tabswitched","Tab switched to: http://localhost:3000/stream",,
"78","2","2025-03-15 18:08:51.499","SIGNUP","User account created from IP: ::1",,
"79","2","2025-03-15 18:08:58.886","LOGIN","User logged in successfully",,
"80","2","2025-03-15 18:09:09.416","mousemoved","Mouse moved to: (776, 255)",,
"81","2","2025-03-15 18:09:11.212","keyispressed","Key pressed: n",,
"82","2","2025-03-15 18:09:12.163","mousemoved","Mouse moved to: (763, 205)",,
"83","2","2025-03-15 18:09:11.559","mousemoved","Mouse moved to: (736, 245)",,
"84","2","2025-03-15 18:09:11.936","mousemoved","Mouse moved to: (744, 206)",,
"85","2","2025-03-15 18:09:11.901","mousemoved","Mouse moved to: (736, 237)",,
"86","2","2025-03-15 18:09:12.057","mousemoved","Mouse moved to: (535, 501)",,
"87","2","2025-03-15 18:09:12.09","mousemoved","Mouse moved to: (736, 209)",,
"88","2","2025-03-15 18:09:12.089","mousemoved","Mouse moved to: (768, 234)",,
"89","2","2025-03-15 18:09:12.121","mousemoved","Mouse moved to: (764, 217)",,
"90","2","2025-03-15 18:09:12.332","tabswitched","Tab switched to: http://localhost:3000/stream",,
"91","2","2025-03-15 18:09:12.164","mousemoved","Mouse moved to: (763, 211)",,
"92","2","2025-03-15 18:09:12.164","mousemoved","Mouse moved to: (654, 336)",,
"93","2","2025-03-15 18:09:12.182","mousemoved","Mouse moved to: (733, 216)",,
"94","2","2025-03-15 18:09:12.213","mousemoved","Mouse moved to: (757, 203)",,
